Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
EvaluateAnimInstance_WorkerThread,1990,58.822540,0.409718,3.071741,3.071983,0.000242,36.902118,36.902310,0.000192,0.000039,0.002055,0.000206,0.000127,
GatherShadowPrimitives,1997,57.739288,0.407708,2.278353,2.278429,0.000076,36.864541,36.864855,0.000314,0.000039,0.001960,0.000204,0.000122,
EvaluateAnimGraph_WorkerThread,1990,58.822544,0.403086,3.071743,3.071982,0.000239,36.902122,36.902310,0.000188,0.000038,0.002051,0.000203,0.000126,
SetupMeshPass,1997,60.476298,0.401795,2.278201,2.278254,0.000053,35.297143,35.299402,0.002259,0.000023,0.002960,0.000201,0.000150,
FinalizeAnimationUpdate,3983,114.762232,0.393735,2.197245,2.197265,0.000020,36.903719,36.903785,0.000066,0.000010,0.001293,0.000099,0.000079,
After Occlusion Readback,4679,135.232773,0.386087,2.293964,2.293966,0.000002,36.893298,36.893565,0.000267,0.000000,0.008013,0.000083,0.000162,
OcclusionCull,1991,57.567489,0.383240,2.278085,2.278091,0.000006,36.863343,36.863578,0.000235,0.000004,0.001186,0.000192,0.000143,
STAT_RHIMETHOD_LockBuffer_Malloc,27909,803.129665,0.381740,2.147789,2.147789,0.000000,36.898092,36.898093,0.000001,0.000000,0.001105,0.000014,0.000041,
BlueprintUpdateAnimation,5972,176.531774,0.380574,3.071397,3.071402,0.000005,36.900921,36.901001,0.000080,0.000001,0.001324,0.000064,0.000062,
Collect Resources,3989,114.790746,0.372358,2.147799,2.147807,0.000008,36.897939,36.897987,0.000048,0.000008,0.000928,0.000093,0.000077,
CharMoveComp,1991,57.379245,0.371347,2.202406,2.202423,0.000017,36.901198,36.901364,0.000166,0.000017,0.001512,0.000187,0.000089,
FRDGBuilder::CollectResources,3989,114.790749,0.368624,2.147800,2.147807,0.000007,36.897939,36.897987,0.000048,0.000007,0.000926,0.000092,0.000077,
UCharacterMovementComponent_TickComponent,1990,58.339168,0.365892,2.790490,2.790568,0.000078,36.901199,36.901364,0.000165,0.000073,0.001509,0.000184,0.000088,
Char Movement Total,1990,58.339169,0.363108,2.790491,2.790568,0.000077,36.901200,36.901364,0.000164,0.000073,0.001507,0.000182,0.000088,
BlendPosesInGraph_WorkerThread,1990,58.822582,0.362967,3.071749,3.071966,0.000217,36.902126,36.902294,0.000168,0.000035,0.001142,0.000182,0.000109,
Char Tick,1990,58.339173,0.358957,2.790492,2.790568,0.000076,36.901201,36.901363,0.000162,0.000071,0.001506,0.000180,0.000087,
UpdateOverlaps Time,4027,115.081136,0.351939,1.908098,1.908098,0.000000,36.900719,36.900801,0.000082,0.000000,0.001249,0.000087,0.000060,
STAT_UGameEngine_Tick_IStreamingManager,1991,58.343488,0.351098,2.784087,2.784306,0.000219,36.909403,36.909575,0.000172,0.000059,0.001012,0.000176,0.000067,
USkeletalMeshComponent_TickAnimation,1993,57.428894,0.346772,2.197222,2.197225,0.000003,36.900866,36.901007,0.000141,0.000002,0.001413,0.000174,0.000076,
FStreamingManagerCollection::UpdateResourceStreaming,1991,58.343495,0.342563,2.784090,2.784306,0.000216,36.909406,36.909574,0.000168,0.000057,0.001008,0.000172,0.000066,
FAudioDevic_Update,1991,59.588274,0.341982,3.060865,3.061034,0.000169,36.473407,36.473479,0.000072,0.000056,0.001628,0.000172,0.000092,
